B,Li1Cs,Li2Cs,Li3Cs
837.339999999966,275.38044722779,4.8617191154878,-11.0588259718
837.359999999966,276.43796065117,4.8753903983218,-11.054877582958
837.379999999966,277.50289204545,4.8890711133407,-11.050927154793
837.399999999966,278.57531368805,4.9027611461877,-11.046974628414
837.419999999966,279.65530902407,4.9164605047522,-11.043020012359
837.439999999966,280.7429562929,4.930169053556,-11.039063377451
837.4599999999659,281.83833729595,4.9438870660379,-11.03510457821
837.4799999999659,282.94153617051,4.9576145892953,-11.031143737148
837.4999999999659,284.05263757252,4.9713514628208,-11.027180757536
837.5199999999659,285.17172585732,4.9850975782461,-11.023215740891
837.5399999999659,286.29888572232,4.9988532880431,-11.019248598437
837.5599999999658,287.43420560099,5.0126183425649,-11.015279348248
837.5799999999658,288.57777878674,5.0263928700687,-11.011308035696
837.5999999999658,289.72969059727,5.0401770491153,-11.007334598258
837.6199999999658,290.89003196944,5.0539704627585,-11.003359012628
837.6399999999658,292.05890069236,5.067773591254,-10.999381369809
837.6599999999657,293.23638639969,5.0815860128959,-10.995401637002
837.6799999999657,294.42258886916,5.0954081942132,-10.991419691249
837.6999999999657,295.61760301141,5.1092396555854,-10.987435719446
837.7199999999657,296.82152669515,5.1230808697731,-10.983449626529
837.7399999999657,298.03446246009,5.1369315985225,-10.979461395154
837.7599999999657,299.25650864065,5.1507919474453,-10.975471018932
837.7799999999656,300.48777254809,5.1646618738925,-10.971478495067
837.7999999999656,301.72835524276,5.1785413980197,-10.967483864291
837.8199999999656,302.97836514649,5.1924306197679,-10.963487144763
837.8399999999656,304.23790952212,5.2063293943716,-10.959488208923
837.8599999999656,305.50709719547,5.2202378262155,-10.955487191419
837.8799999999655,306.78603946277,5.2341560233319,-10.951484035713
837.8999999999655,308.0748512349,5.2480839015742,-10.947478671408
837.9199999999655,309.37364431228,5.2620213730698,-10.94347123584
837.9399999999655,310.68253700246,5.2759686922744,-10.939461616195
837.9599999999655,312.00164934975,5.289925565843,-10.935449847698
837.9799999999655,313.33109602314,5.3038923323227,-10.93143589754
837.9999999999654,314.67100583712,5.3178688257622,-10.927419819277
838.0199999999654,316.0214974165,5.3318551466899,-10.923401581944
838.0399999999654,317.38269872717,5.3458512356987,-10.919381152295
838.0599999999654,318.75474001348,5.3598570769313,-10.915358610099
838.0799999999654,320.13774691092,5.3738728417767,-10.911333846289
838.0999999999653,321.53185457351,5.3878983492429,-10.907306923089
838.1199999999653,322.93719821107,5.4019336823549,-10.903277857431
838.1399999999653,324.353909629,5.4159789623623,-10.899246557244
838.1599999999653,325.78213151657,5.4300341425144,-10.895213096068
838.1799999999653,327.22200379139,5.4440992302521,-10.891177462719
838.1999999999653,328.67366875718,5.4581740250847,-10.887139659746
838.2199999999652,330.1372746071,5.4722588880821,-10.883099678735
838.2399999999652,331.61296477339,5.4863537392756,-10.879057450476
838.2599999999652,333.10089251078,5.5004584761497,-10.875013096449
838.2799999999652,334.60121106591,5.5145732898825,-10.870966493742
838.2999999999652,336.11407571139,5.5286978336883,-10.866917706986
838.3199999999651,337.63964335413,5.5428326780114,-10.862866732719
838.3399999999651,339.17807651414,5.5569773256501,-10.858813484198
838.3599999999651,340.72953784392,5.5711320615677,-10.854758066859
